Comune,Pop_Comune_2030_Ottimistico,Quota Popolazione 2030 Ottimistico,EV Stimati (2030 - Ottimistico),Domanda Mensile (kWh) - Ottimistico,Domanda Annua (kWh) - Ottimistico,Domanda Giornaliera (kWh) - Ottimistico,Colonnine Necessarie - Ottimistico
Brescia,200195,0.15686976663276356,9412.185997965813,1694193.4796338463,20330321.755606156,55699.51165919495,100.28209521343591
Desenzano del Garda,29635,0.023221536672554,1393.2922003532399,250792.5960635832,3009511.1527629984,8245.236034967118,14.844825753141551
Montichiari,26573,0.02082219989876084,1249.3319939256503,224879.75890661706,2698557.1068794047,7393.307142135355,13.311002353238754
Lumezzane,21824,0.017100955503351393,1026.0573302010835,184690.31943619502,2216283.83323434,6072.01050201189,10.932123409365992
Palazzolo sull'Oglio,20465,0.016036063708581665,962.1638225149,173189.488052682,2078273.8566321838,5693.900977074476,10.251370306665832
Rovato,19666,0.015409979423062155,924.5987653837293,166427.77776907128,1997133.3332288554,5471.5981732297405,9.851133567109223
Chiari,19513,0.015290090942856292,917.4054565713775,165132.98218284795,1981595.7861941755,5429.02955121692,9.774492489321787
Ghedi,18823,0.014749417404672987,884.9650442803792,159293.70797046824,1911524.495645619,5237.053412727723,9.428856256162762
Lonato del Garda,17181,0.013462771100764308,807.7662660458585,145397.92788825452,1744775.1346590542,4780.205848380971,8.606342205659693
Gussago,16817,0.013177546219751667,790.6527731851,142317.499173318,1707809.990079816,4678.931479670729,8.424006569616383
Concesio,15933,0.012484857223006678,749.0914333804006,134836.4580084721,1618037.4961016653,4432.979441374426,7.981191453511198
Darfo Boario Terme,15890,0.012451163074974965,747.0697844984979,134472.56120972964,1613670.7345167557,4421.01571100481,7.959651804198392
Ospitaletto,14965,0.011726347099874156,703.5808259924494,126644.54867864089,1519734.5841436908,4163.656394914221,7.496298882934481
Leno,14599,0.01143955504918562,686.3733029511371,123547.19453120469,1482566.3343744562,4061.825573628647,7.312961402737085
Travagliato,13989,0.010961568298038061,657.6940978822837,118384.93761881106,1420619.2514257329,3892.1075381526925,7.007398935741428
Rezzato,13576,0.010637947759966024,638.2768655979614,114889.83580763306,1378678.0296915967,3777.2000813468403,6.800518117923056
Manerbio,13551,0.010618358139017353,637.1014883410412,114678.26790138741,1376139.214816649,3770.2444241552025,6.787995065997003
Sarezzo,13358,0.010467126265293617,628.027575917617,113044.96366517106,1356539.5639820527,3716.546750635761,6.691317105127885
Carpenedolo,13185,0.010331566088328817,619.893965299729,111580.91375395122,1338970.9650474146,3668.4136028696294,6.604657585799608
Calcinato,13090,0.010257125528723869,615.4275317234321,110776.95571021778,1329323.4685226134,3641.982105541407,6.557069988480612
Mazzano,12845,0.010065147243426898,603.908834605614,108703.59022901052,1304443.0827481262,3573.81666506336,6.4343440796053075
Bagnolo Mella,12674,0.009931154236137992,595.8692541682796,107256.46575029031,1287077.5890034838,3526.239969872558,6.348686404431113
Orzinuovi,12629,0.009895892918430385,593.7535751058231,106875.64351904816,1282507.7222285778,3513.7197869276106,6.326144910964221
Gavardo,12472,0.009772870098872734,586.3722059323641,105546.99706782553,1266563.9648139065,3470.0382597641274,6.247500144868617
Bedizzole,12429,0.009739175950841021,584.3505570504612,105183.10026908302,1262197.2032289961,3458.07452939451,6.225960495555807
Castenedolo,11770,0.009222793542634068,553.367612558044,99606.17026044792,1195274.0431253752,3274.7234058229456,5.895852846785088
Gardone Val Trompia,11555,0.009054322802475501,543.25936814853,97786.6862667354,1173440.2352008247,3214.904753974862,5.788154600221043
Castel Mella,11073,0.008676634910585134,520.598094635108,93707.65703431945,1124491.8844118332,3080.799683320091,5.546710159086769
Botticino,10872,0.008519134358157824,511.14806148946946,92006.6510681045,1104079.812817254,3024.8761994993265,5.446024821601316
Cazzago San Martino,10865,0.008513649264292196,510.81895585753176,91947.41205435572,1103368.9446522687,3022.9286154856677,5.442518367062021
Villa Carcina,10792,0.008456447571122077,507.3868542673246,91329.63376811844,1095955.6052174212,3002.6180964860855,5.405951055437949
Nave,10723,0.008402380217303747,504.1428130382248,90745.70634688047,1088948.4761625656,2983.420482637166,5.371387432122048
Salò,10598,0.008304432112560396,498.2659267536237,89687.86681565226,1076254.4017878273,2948.642196678979,5.308772172491791
Rodengo Saiano,10029,0.007858572339768654,471.5143403861192,84872.58126950146,1018470.9752340175,2790.331438997308,5.023747510654855
Capriolo,9556,0.007487936711419809,449.27620268518854,80869.71648333393,970436.5978000072,2658.7304049315267,4.78681136821396
Roncadelle,9402,0.007367264646375999,442.0358787825599,79566.45818086078,954797.4981703293,2615.883556631039,4.709669368349481
Borgosatollo,9236,0.007237189563276826,434.23137379660955,78161.64728338971,937939.7674006766,2569.697992878566,4.626516303560498
Iseo,9127,0.007151778815940623,429.1067289564374,77239.21121215873,926870.5345459047,2539.3713275230266,4.571915797162914
Coccaglio,8903,0.006976255812240536,418.57534873443217,75343.5627721978,904122.7532663735,2477.048639085955,4.459709251905493
Erbusco,8903,0.006976255812240536,418.57534873443217,75343.5627721978,904122.7532663735,2477.048639085955,4.459709251905493
Flero,8859,0.006941778079370875,416.5066847622525,74971.20325720546,899654.4390864655,2464.8066824286725,4.437668680515642
Calvisano,8500,0.006660471122547967,399.628267352878,71933.08812351804,863197.0574822165,2364.9234451567577,4.25783765485754
Castegnato,8465,0.006633045653219829,397.98273919318973,71636.89305477415,859642.7166572898,2355.185525088465,4.240305382161068
Vobarno,8431,0.006606403768729637,396.3842261237782,71349.16070228007,856189.928427361,2345.7258313078382,4.223274031541639
Sirmione,8412,0.0065915156568086474,395.49093940851884,71188.36909353339,854260.4291224007,2340.439531842194,4.21375651207784
Verolanuova,8177,0.006407373219891144,384.44239319346866,69199.63077482436,830395.5692978923,2275.056354240801,4.096039823972954
Pisogne,7978,0.0062514398371397275,375.08639022838366,67515.55024110906,810186.6028933087,2219.689322995366,3.996356330641583
Cologne,7716,0.006046140609597661,362.76843657585965,65298.318583654735,783579.8230038568,2146.794035627005,3.865114746456563
Castrezzato,7707,0.006039088346056139,362.34530076336836,65222.1541374063,782665.8496488757,2144.2899990380156,3.860606447763184
Toscolano-Maderno,7696,0.0060304689128387245,361.82813477032346,65129.064258658225,781548.7711038988,2141.2295098736954,3.855096304915722
Bovezzo,7418,0.005812632327889508,348.75793967337046,62776.42914120668,753317.1496944802,2063.8826019026856,3.7158399674980274
Corte Franca,7281,0.005705281205090794,342.31687230544765,61617.037014980575,739404.4441797669,2025.765600492512,3.6472136429432647
Adro,7258,0.005687258753818017,341.235525229081,61422.394541234586,737068.734494815,2019.3663958762054,3.635692435171297
Provaglio d'Iseo,7246,0.0056778557357626555,340.67134414575935,61320.84194623668,735850.1033548402,2016.0276804242196,3.629681370246793
Pontevico,7106,0.0055681538584501,334.089231507006,60136.06167126108,721632.7400551329,1977.076000151049,3.559552279460903
Pontoglio,7053,0.005526623862038919,331.59743172233516,59687.537710020326,716250.4525202439,1962.330006904778,3.5330034093776748
Passirano,6993,0.00547960877176211,328.77652630572663,59179.77473503079,710157.2968203695,1945.636429644848,3.502948084755151
Castelcovati,6978,0.0054678549991929075,328.0712999515745,59052.833991283405,708634.0078954009,1941.4630353298653,3.4954342535995195
Prevalle,6903,0.005409086136346896,324.5451681808138,58418.130272546485,701017.5632705578,1920.5960637549529,3.457865097821365
Torbole Casaglia,6537,0.00512229408565836,307.3376451395016,55320.776125110286,663849.3135013235,1818.7652424693792,3.2745276176239693
Quinzano d'Oglio,6304,0.004939718818416751,296.3831291050051,53348.96323890091,640187.558866811,1753.9385174433178,3.157812773673169
Rudiano,6006,0.004706210536708599,282.37263220251594,50827.07379645287,609924.8855574344,1671.0270837189985,3.008537994714634
Villanuova sul Clisi,5905,0.00462706846807597,277.6241080845582,49972.33945522048,599668.0734626458,1642.926228664783,2.9579448649333857
Dello,5703,0.004468784330810713,268.1270598486428,48262.8707727557,579154.4492730683,1586.7245185563515,2.856758605370888
Trenzano,5562,0.004358298868660211,261.49793211961264,47069.627781530275,564835.5333783634,1547.4946119955162,2.786128592507958
Borgo San Giacomo,5501,0.004310500193545455,258.6300116127273,46553.40209029091,558640.8250834909,1530.5228084479204,2.7555723458083916
Manerba del Garda,5467,0.004283858309055263,257.03149854331576,46265.66973779684,555188.0368535621,1521.0631146672933,2.7385409951889614
Poncarale,5262,0.004123223417276165,247.39340503656987,44530.81290658258,534369.7548789909,1464.0267256958655,2.635851969395338
Montirone,5140,0.004027626067046653,241.6575640227992,43498.36152410386,521980.3382892463,1430.0831186006749,2.574739475996207
Esine,5130,0.004019790218667185,241.1874131200311,43413.734361605595,520964.8123392671,1427.3008557240196,2.569730255225786
Gottolengo,5050,0.003957103431631439,237.42620589788635,42736.71706161954,512840.60473943455,1405.0427527107795,2.529656489062421
Paratico,5034,0.00394456607422429,236.6739644534574,42601.31360162233,511215.76321946795,1400.5911321081314,2.521641735829748
Roccafranca,4938,0.0038693419297813956,232.16051578688374,41788.89284163907,501466.71409966884,1373.8814084922435,2.47355321643371
Cellatica,4932,0.0038646404207537148,231.8784252452229,41738.116544140124,500857.3985296815,1372.2120507662507,2.470547683971458
Padenghe sul Garda,4911,0.0038481851391568315,230.8911083494099,41560.399502893786,498724.7940347254,1366.369298725275,2.460028320353574
Piancogno,4854,0.0038035208033938626,228.21124820363175,41078.02467665372,492936.2961198446,1350.5104003283413,2.4314757619621767
Pian Camuno,4842,0.003794117785338501,227.64706712031006,40976.47208165581,491717.66497986973,1347.1716848763554,2.425464697037672
Nuvolera,4791,0.003754154958603213,225.24929751619277,40544.8735529147,486538.4826349764,1332.9821442054147,2.3999176711085264
Capriano del Colle,4784,0.0037486698647375854,224.92019188425513,40485.63453916593,485827.6144699911,1331.0345601917566,2.3964112165692324
San Zeno Naviglio,4744,0.0037173264712197125,223.03958827318274,40147.125889172894,481765.5106700747,1319.9055086851363,2.37637433348755
Breno,4713,0.003693035341243361,221.58212047460168,39884.7816854283,478617.3802251396,1311.2804937675057,2.3608457490992456
Monticelli Brusati,4667,0.0036569904386978074,219.41942632186846,39495.49673793632,473945.96085523587,1298.4820845348927,2.3378033335553106
Gambara,4607,0.0036099753484209983,216.5985209052599,38987.73376294678,467852.80515536136,1281.7885072749627,2.307748008932787
Collebeato,4521,0.0035425870523575717,212.5552231414543,38259.940165461776,459119.28198554134,1257.8610465357297,2.2646687103071694
San Paolo,4495,0.0035222138465709546,211.33283079425726,38039.90954296631,456478.91451559565,1250.6271630564265,2.2516447363040757
Edolo,4457,0.0034924376227289753,209.5462573637385,37718.32632547293,452619.91590567515,1240.0545641251374,2.232609697376477
Roè Volciano,4418,0.0034618778140490494,207.71266884294297,37388.280391729735,448659.36470075685,1229.2037389061832,2.2130737363718374
Marcheno,4223,0.0033090787706494193,198.54472623896515,35738.05072301373,428856.60867616476,1174.9496128114104,2.1153939313486347
Vestone,4207,0.0032965414132422703,197.79248479453622,35602.64726301652,427231.7671561983,1170.4979922087623,2.1073791781159614
Comezzano-Cizzago,4164,0.0032628472652105572,195.77083591263343,35238.75046427402,422865.0055712882,1158.5342618391458,2.085839528803153
Offlaga,4154,0.0032550114168310887,195.30068500986533,35154.12330177576,421849.47962130915,1155.751998962491,2.0808303080327324
Isorella,4121,0.0032291531171788437,193.7491870307306,34874.85366553151,418498.24398637813,1146.5705314695292,2.0642998794903438
Sabbio Chiese,4065,0.003185272366253822,191.11634197522932,34400.94155554128,412811.29866649536,1130.9898593602613,2.0362482431759887
Nuvolento,3948,0.0030935929402140443,185.61557641284264,33410.80375431167,400929.6450517401,1098.4373837033975,1.977640360162067
Verolavecchia,3871,0.003033256907692139,181.99541446152836,32759.174603075106,393110.09523690125,1077.013959553154,1.9390693602298283
Bienno,3828,0.0029995627596604256,179.97376557962554,32395.277804332596,388743.33365199115,1065.0502291835373,1.917529710917019
Bagolino,3824,0.0029964284203086384,179.7857052185183,32361.426939333294,388337.12327199953,1063.9373240328755,1.9155260226088513
Lograto,3819,0.0029925104961189045,179.55062976713427,32319.113358084167,387829.36029701,1062.5461925945478,1.9130214122236406
Urago d'Oglio,3811,0.0029862418174153296,179.17450904491977,32251.41162808556,387016.9395370267,1060.3203822932237,1.9090140356073038
Pompiano,3767,0.0029517640845456695,177.10584507274018,31879.052113093232,382548.6253571188,1048.0784256359418,1.8869734642174534
Calvagese della Riviera,3726,0.00291963710618985,175.178226371391,31532.080746850377,378384.9689622045,1036.6711478416562,1.8664356590587285
Paderno Franciacorta,3695,0.0028953459762134986,173.72075857280993,31269.736543105788,375236.83851726947,1028.0461329240259,1.850907074670425
Pozzolengo,3638,0.0028506816404505297,171.04089842703178,30787.36171686572,369448.3406023886,1012.1872345270921,1.822354516279027
Artogne,3636,0.002849114470774636,170.94686824647818,30770.43628436607,369245.2354123929,1011.6307819517613,1.8213526721249431
Mairano,3572,0.0027989650411460397,167.9379024687624,30228.82244437723,362745.86933252675,993.8242995411692,1.7892936591942512
San Felice del Benaco,3517,0.002755867875058965,165.3520725035379,29763.373050636823,357160.4766076419,978.5218537195668,1.761742944956938
Puegnago del Garda,3506,0.0027472484418415498,164.834906510493,29670.28317188874,356043.3980626649,975.4613645552463,1.756232802109475
Azzano Mella,3469,0.0027182558028375175,163.09534817025104,29357.162670645186,352285.9520477422,965.1669919116225,1.7376986852589182
Remedello,3425,0.0026837780699678574,161.02668419807145,28984.803155652862,347817.63786783436,952.9250352543407,1.715658113869068
Sale Marasino,3309,0.0025928822287660264,155.57293372596158,28003.128070673083,336037.53684807697,920.6507858851423,1.657551152932188
Ome,3210,0.002515307329809291,150.91843978855746,27165.319161940344,325983.82994328416,893.1063834062579,1.6079598673050242
Marone,3159,0.0024753445030740034,148.5206701844402,26733.72063319924,320804.6475983909,878.9168427353175,1.5824128413758791
Serle,3127,0.002450269788259705,147.0161872955823,26462.913713204816,317554.9645584578,870.0136015300213,1.5663833349105327
Malonno,3050,0.0023899337557378,143.396025344268,25811.28456196824,309735.4147436189,848.5901773797779,1.5278123349782942
Pralboino,2840,0.002225380939768968,133.52285638613807,24034.114149504854,288409.36979405826,790.1626569700227,1.4226186987994607
Berlingo,2796,0.0021909032068993077,131.45419241395845,23661.754634512523,283941.05561415025,777.9207003127405,1.4005781274096096
Polpenazze del Garda,2770,0.0021705300011126906,130.23180006676142,23441.724012017057,281300.6881442047,770.6868168334374,1.3875541534065159
Muscoline,2737,0.0021446717014604456,128.68030208762673,23162.45437577281,277949.4525092737,761.505349340476,1.371023724864128
Gargnano,2733,0.002141537362108658,128.49224172651947,23128.603510773504,277543.24212928204,760.3924441898138,1.3690200365559595
San Gervasio Bresciano,2720,0.0021313507592153496,127.88104555292098,23018.588199525777,276223.0583943093,756.7755024501624,1.3625080495544128
Pavone del Mella,2716,0.0021282164198635624,127.69298519181375,22984.737334526475,275816.8480143177,755.6625972995005,1.3605043612462446
Cividate Camuno,2696,0.0021125447231046257,126.75268338627754,22815.48300952996,273785.7961143595,750.0980715461905,1.3504859197054033
Gardone Riviera,2670,0.0020921715173180086,125.53029103908052,22595.452387034493,271145.42864441394,742.8641880668876,1.33746194570231
Moniga del Garda,2661,0.002085119253776487,125.10715522658923,22519.28794078606,270231.4552894327,740.3601514778978,1.3329536470089312
Polaveno,2495,0.001955044170677315,117.30265024063891,21114.477043315004,253373.72451978005,694.1745877254248,1.2498005822199487
Berzo Inferiore,2487,0.0019487754919737404,116.92652951842443,21046.775313316397,252561.30375979678,691.9487774241007,1.245793205603612
Orzivecchi,2483,0.0019456411526219532,116.73846915731718,21012.92444831709,252155.0933798051,690.8358722734387,1.2437895172954436
Borno,2473,0.001937805304242485,116.2683182545491,20928.297285818837,251139.56742982604,688.0536093967837,1.2387802965250232
Bassano Bresciano,2369,0.0018563124810960158,111.37874886576095,20048.17479583697,240578.09755004366,659.1180754795716,1.1866844005126487
Alfianello,2366,0.0018539617265821754,111.23770359493052,20022.786647087494,240273.43976504993,658.2833966165751,1.1851816342815225
Barbariga,2365,0.0018531781417442286,111.19068850465372,20014.32393083767,240171.88717005204,658.0051703289097,1.1846807122044805
Capo di Ponte,2358,0.0018476930478786007,110.86158287271604,19955.084917088887,239461.01900506666,656.0575863152511,1.1811742576651858
Angolo Terme,2341,0.001834372105633505,110.0623263380103,19811.218740841854,237734.62489010225,651.3277394249377,1.172658582355471
Paitone,2214,0.0017348568312142588,104.09140987285552,18736.453777113995,224837.44532536794,615.993000891419,1.1090414785711287
Caino,2193,0.0017184015496173755,103.10409297704253,18558.736735867657,222704.84083041188,610.1502488504435,1.0985221149532456
Gianico,2159,0.0016917596651271837,101.50557990763102,18271.004383373584,219252.052600483,600.6905550698165,1.0814907643338152
Tremosine sul Garda,2100,0.0016455281596883212,98.73168958129928,17771.70412463387,213260.44949560644,584.2752040975519,1.0519363617883335
Bovegno,2047,0.0016039981632771398,96.23988979662839,17323.18016339311,207878.16196071732,569.5292108512804,1.0253874917051042
Collio,2021,0.0015836249574905225,95.01749744943135,17103.14954089764,205237.7944907717,562.2953273719772,1.0123635177020103
Fiesse,2021,0.0015836249574905225,95.01749744943135,17103.14954089764,205237.7944907717,562.2953273719772,1.0123635177020103
Visano,2012,0.0015765726939490012,94.59436163694006,17026.98509464921,204323.82113579055,559.7912907829879,1.007855219008632
Niardo,1973,0.001546012885269075,92.7607731161445,16696.93916090601,200363.26993087213,548.9404655640333,0.9883192580039915
Sulzano,1969,0.0015428785459172879,92.57271275503727,16663.08829590671,199957.0595508805,547.8275604133713,0.9863155696958232
Malegno,1959,0.0015350426975378197,92.10256185226919,16578.461133408455,198941.53360090146,545.0452975367164,0.9813063489254027
Soiano del Lago,1955,0.0015319083581860325,91.91450149116194,16544.61026840915,198535.3232209098,543.9323923860543,0.9793026606172344
Odolo,1946,0.001524856094644511,91.49136567867066,16468.44582216072,197621.34986592864,541.4283557970648,0.9747943619238558
Corteno Golgi,1939,0.0015193710007788833,91.162260046733,16409.20680841194,196910.48170094326,539.4807717834062,0.9712879073845613
Idro,1907,0.0014942962859645851,89.6577771578751,16138.399888417518,193660.79866101022,530.5775305781102,0.9552584009192152
Ceto,1800,0.0014104527083042754,84.62716249825652,15232.889249686174,182794.67099623408,500.8073177979016,0.9016597386757144
Milzano,1775,0.001390863087355605,83.4517852413363,15021.321343440533,180255.8561212864,493.8516606062641,0.8891366867496628
Ponte di Legno,1765,0.0013830272389761366,82.9816343385682,14936.694180942275,179240.33017130732,491.0693977296091,0.8841274659792422
Brandico,1759,0.0013783257299484558,82.69954379690735,14885.917883443322,178631.01460131985,489.400040003616,0.8811219335169898
Agnosine,1679,0.0013156389429127102,78.93833657476262,14208.90058345727,170506.80700148724,467.141936990376,0.8410481673536248
Monte Isola,1645,0.0012889970584225184,77.3398235053511,13921.1682309632,167054.0187715584,457.682243209749,0.8240168167341946
Lodrino,1641,0.0012858627190707312,77.15176314424387,13887.317365963898,166647.80839156677,456.56933805908704,0.8220131284260265
Casto,1631,0.0012780268706912628,76.68161224147578,13802.69020346564,165632.28244158768,453.78707518243203,0.8170039076556058
Acquafredda,1548,0.0012129893291416768,72.77935974850061,13100.28475473011,157203.41705676133,430.69429330619545,0.7754273752611145
Berzo Demo,1528,0.0011973176323827404,71.83905794296443,12931.030429733597,155172.36515680316,425.12976755288537,0.7654089337202731
Maclodio,1509,0.0011824295204617508,70.94577122770505,12770.23882098691,153242.86585184291,419.84346808724086,0.755891414256474
Preseglie,1498,0.0011738100872443358,70.42860523466015,12677.148942238828,152125.78730686594,416.7829789229204,0.7503812714090113
Ossimo,1493,0.0011698921630546018,70.1935297832761,12634.835360989699,151618.02433187637,415.3918474845928,0.7478766610238008
Vezza d'Oglio,1487,0.001165190654026921,69.91143924161526,12584.059063490746,151008.70876188896,413.7224897585999,0.7448711285615487
Cigole,1475,0.001155787635971559,69.34725815829354,12482.506468492838,149790.07762191407,410.3837743066139,0.7388600636370438
Pezzaze,1474,0.0011550040511336122,69.30024306801673,12474.043752243011,149688.52502691612,410.1055480189483,0.7383591415600016
Corzano,1450,0.0011361980150228885,68.17188090137331,12270.938562247196,147251.26274696636,403.4281171149763,0.7263370117109922
Seniga,1430,0.001120526318263952,67.23157909583712,12101.684237250682,145220.2108470082,397.8635913616663,0.7163185701701509
Vallio Terme,1427,0.0011181755637501116,67.0905338250067,12076.296088501207,144915.5530620145,397.0289124986698,0.7148158039390248
Sellero,1408,0.0011032874518291222,66.19724710974734,11915.504479754522,142986.05375705427,391.7426130330254,0.7052982844752258
Villachiara,1382,0.0010829142460425049,64.9748547625503,11695.473857259052,140345.68628710863,384.5087295537223,0.692274310472132
Bione,1325,0.001038249910279536,62.29499461677216,11213.099031018988,134557.18837222786,368.64983115678865,0.6637217520807341
Sonico,1222,0.0009575406719710137,57.45244031826082,10341.439257286947,124097.27108744337,339.9925235272421,0.6121267781454017
Tavernole sul Mella,1221,0.0009567570871330668,57.40542522798401,10332.976541037122,123995.71849244546,339.71429723957664,0.6116258560683597
Tignale,1175,0.0009207121845875131,55.24273107525079,9943.691593545142,119324.2991225417,326.9158880069636,0.5885834405244248
Barghe,1154,0.0009042569029906298,54.25541417943779,9765.974552298803,117191.69462758565,321.07313596598806,0.5780640769065414
Temù,1148,0.000899555393962949,53.973323637776936,9715.198254799849,116582.37905759818,319.403778239995,0.5750585444442889
Limone sul Garda,1144,0.0008964210546111617,53.7852632766697,9681.347389800547,116176.16867760656,318.29087308933305,0.5730548561361207
Cedegolo,1111,0.0008705627549589166,52.233765297535,9402.0777535563,112824.93304267559,309.10940559637146,0.5565244275937326
Zone,1036,0.0008117938921129051,48.70763352677431,8767.374034819375,105208.4884178325,288.2424340214589,0.5189552718155778
Ono San Pietro,980,0.0007679131411878833,46.074788471272996,8293.461924829138,99521.54309794966,272.66176191219085,0.49090363550122224
Provaglio Val Sabbia,885,0.0006934725815829354,41.608354894976124,7489.503881095702,89874.04657314843,246.2302645839683,0.44331603818222626
Cevo,828,0.0006488082458199667,38.928494749198,7007.129054855641,84085.54865826768,230.37136618703474,0.4147634797908286
Saviore dell'Adamello,807,0.0006323529642230835,37.941177853385014,6829.412013609302,81952.94416331162,224.52861414605923,0.4042441161729453
Mura,789,0.0006182484371400407,37.094906228402444,6677.08312111244,80124.99745334928,219.5205409680802,0.39522751878618817
Brione,760,0.000595524476839583,35.731468610374975,6431.664349867496,77179.97219840995,211.45197862578067,0.38070077855196827
Braone,700,0.0005485093865627737,32.91056319376642,5923.901374877956,71086.81649853548,194.75840136585063,0.3506454539294445
Cerveno,669,0.0005242182565864224,31.453095395185343,5661.557171133361,67938.68605360034,186.1333864482201,0.33511686954114056
Marmentino,667,0.0005226510869105287,31.359065214631723,5644.6317386337105,67735.58086360453,185.5769338728891,0.3341150253870564
Losine,634,0.0004967927872582837,29.807567235497018,5365.362102389463,64384.345228673556,176.39546637992754,0.3175845968446683
Vione,632,0.00049522561758239,29.7135370549434,5348.436669889812,64181.240038677744,175.83901380459656,0.31658275269058417
Paspardo,588,0.00046074788471272995,27.644873082763798,4976.0771548974835,59712.9258587698,163.59705714731453,0.2945421813007334
Pertica Bassa,563,0.00044115826376405946,26.469495825843566,4764.5092486518415,57174.1109838221,156.641399955677,0.28201912937468177
Pertica Alta,563,0.00044115826376405946,26.469495825843566,4764.5092486518415,57174.1109838221,156.641399955677,0.28201912937468177
Longhena,557,0.00043645675473637853,26.187405284182713,4713.732951152889,56564.79541383467,154.97204222968404,0.2790135969124295
Cimbergo,541,0.00042391939732922945,25.435163839753766,4578.329491155678,54939.953893868136,150.520421627036,0.2709988436797564
Monno,520,0.00040746411573234625,24.447846943940775,4400.612449909339,52807.349398912076,144.6776695860605,0.2604794800618731
Treviso Bresciano,519,0.0004066805308943994,24.400831853663963,4392.149733659513,52705.796803914156,144.39944329839494,0.25997855798483094
Lavenone,493,0.00038630732510778207,23.178439506466923,4172.119111164046,50065.429333968554,137.16555981909192,0.2469545839817373
Anfo,454,0.0003557475164278561,21.344850985671368,3842.073177420846,46104.87812905015,126.3147346001374,0.22741862297709683
Lozio,357,0.0002797397871470146,16.784387228820876,3021.1897011877577,36254.276414253094,99.32678469658381,0.1788291815040167
Incudine,348,0.00027268752360549325,16.361251416329594,2945.025254939327,35340.30305927193,96.82274810759432,0.17432088281063815
Capovalle,343,0.00026876959941575914,16.12617596494555,2902.711673690199,34832.54008428239,95.43161666926682,0.17181627242542782
Paisco Loveno,175,0.00013712734664069343,8.227640798441605,1480.975343719489,17771.70412463387,48.68960034146266,0.08766136348236113
Valvestino,170,0.00013320942245095935,7.992565347057561,1438.661762470361,17263.94114964433,47.29846890313515,0.0851567530971508
Irma,134,0.00010500036828487383,6.30002209709243,1134.0039774766374,13608.047729719648,37.28232254717712,0.0671235583236365
Magasa,108,8.462716249825652e-05,5.077629749895391,913.9733549811704,10967.680259774044,30.048439067874092,0.054099584320542855
