Comune,Pop_Comune_2030_Ottimistico,Quota Popolazione 2030 Ottimistico,EV Stimati (2030 - Ottimistico),Domanda Mensile (kWh) - Ottimistico,Domanda Annua (kWh) - Ottimistico,Domanda Giornaliera (kWh) - Ottimistico,Colonnine Necessarie - Ottimistico,Comune_nome_match,n_esagoni,EV Stimati (2030 - Ottimistico) per esagono,Domanda Giornaliera (kWh) - Ottimistico per esagono,Domanda Mensile (kWh) - Ottimistico per esagono,Domanda Annua (kWh) - Ottimistico per esagono,Colonnine Necessarie - Ottimistico per esagono
paderno franciacorta,3695,0.0028953459762134,173.72075857280993,31269.736543105788,375236.8385172695,1028.046132924026,1.850907074670425,paderno franciacorta,5,34.74415171456199,205.6092265848052,6253.947308621157,75047.3677034539,0.370181414934085
pozzolengo,3638,0.0028506816404505,171.04089842703178,30787.36171686572,369448.3406023886,1012.187234527092,1.822354516279027,pozzolengo,36,4.75113606741755,28.116312070196997,855.2044921351588,10262.453905621906,0.050620958785528525
artogne,3636,0.0028491144707746,170.94686824647818,30770.43628436607,369245.2354123929,1011.6307819517612,1.8213526721249431,artogne,14,12.210490589034155,72.25934156798294,2197.888306026148,26374.659672313777,0.13009661943749593
mairano,3572,0.002798965041146,167.9379024687624,30228.82244437723,362745.8693325268,993.8242995411692,1.7892936591942512,mairano,11,15.267082042614762,90.34766359465175,2748.0747676706574,32976.897212047894,0.16266305992675012
san felice del benaco,3517,0.0027558678750589,165.3520725035379,29763.373050636823,357160.4766076419,978.5218537195668,1.761742944956938,san felice del benaco,31,5.333937822694771,31.565221087727963,960.1088080850589,11521.305697020707,0.05683041757925606
puegnago del garda,3506,0.0027472484418415,164.834906510493,29670.28317188874,356043.3980626649,975.4613645552464,1.756232802109475,puegnago del garda,14,11.773921893606643,69.67581175394618,2119.305940849196,25431.67129019035,0.12544520015067678
azzano mella,3469,0.0027182558028375,163.09534817025104,29357.162670645183,352285.9520477422,965.1669919116224,1.7376986852589182,azzano mella,10,16.309534817025103,96.51669919116225,2935.7162670645184,35228.59520477422,0.17376986852589182
remedello,3425,0.0026837780699678,161.02668419807145,28984.803155652862,347817.6378678344,952.9250352543409,1.715658113869068,remedello,28,5.7509530070739805,34.03303697336931,1035.1715412733165,12422.0584952798,0.06127350406675243
sale marasino,3309,0.002592882228766,155.57293372596158,28003.128070673083,336037.53684807697,920.6507858851425,1.657551152932188,sale marasino,24,6.482205571915066,38.360449411880936,1166.7970029447117,14001.56403533654,0.0690646313721745
ome,3210,0.0025153073298092,150.91843978855746,27165.319161940344,325983.82994328416,893.1063834062579,1.6079598673050242,ome,18,8.38435776603097,49.61702130034766,1509.1843978855748,18110.212774626896,0.08933110373916801
marone,3159,0.002475344503074,148.5206701844402,26733.72063319924,320804.6475983909,878.9168427353175,1.5824128413758791,marone,33,4.50062636922546,26.633843719252045,810.112746460583,9721.352957526997,0.04795190428411755
serle,3127,0.0024502697882597,147.0161872955823,26462.913713204816,317554.9645584578,870.0136015300213,1.5663833349105327,serle,22,6.682553967981014,39.54607279681915,1202.8597142365825,14434.31657083899,0.0711992424959333
malonno,3050,0.0023899337557378,143.396025344268,25811.28456196824,309735.4147436189,848.5901773797779,1.5278123349782942,malonno,52,2.757615872005154,16.319041872688036,496.3708569609277,5956.450283531133,0.029381006441890272
pralboino,2840,0.0022253809397689,133.52285638613807,24034.11414950485,288409.36979405826,790.1626569700227,1.422618698799461,pralboino,21,6.358231256482766,37.6267931890487,1144.4816261668977,13733.779514002774,0.06774374756187909
berlingo,2796,0.0021909032068993,131.45419241395845,23661.754634512523,283941.05561415025,777.9207003127405,1.4005781274096096,berlingo,6,21.909032068993074,129.65345005212342,3943.625772418754,47323.50926902504,0.2334296879016016
polpenazze del garda,2770,0.0021705300011126,130.23180006676142,23441.724012017057,281300.6881442047,770.6868168334374,1.387554153406516,polpenazze del garda,14,9.3022714333401,55.049058345245534,1674.4088580012183,20092.90629601462,0.0991110109576083
muscoline,2737,0.0021446717014604,128.68030208762673,23162.45437577281,277949.4525092737,761.505349340476,1.371023724864128,muscoline,14,9.191450149116195,54.393239238605425,1654.4610268409149,19853.53232209098,0.09793026606172342
gargnano,2733,0.0021415373621086,128.49224172651947,23128.603510773504,277543.24212928204,760.3924441898138,1.3690200365559595,gargnano,108,1.1897429789492544,7.040670779535312,214.1537362108658,2569.844834530389,0.012676111449592218
san gervasio bresciano,2720,0.0021313507592153,127.88104555292098,23018.588199525777,276223.0583943093,756.7755024501624,1.3625080495544128,san gervasio bresciano,16,7.992565347057561,47.29846890313515,1438.661762470361,17263.94114964433,0.0851567530971508
pavone del mella,2716,0.0021282164198635,127.69298519181376,22984.737334526475,275816.8480143177,755.6625972995005,1.3605043612462446,pavone del mella,15,8.51286567945425,50.377506486633365,1532.315822301765,18387.78986762118,0.09070029074974964
cividate camuno,2696,0.0021125447231046,126.75268338627754,22815.48300952996,273785.7961143595,750.0980715461905,1.350485919705403,cividate camuno,4,31.688170846569385,187.5245178865476,5703.87075238249,68446.44902858988,0.3376214799263508
gardone riviera,2670,0.002092171517318,125.53029103908052,22595.452387034493,271145.42864441394,742.8641880668876,1.33746194570231,gardone riviera,33,3.8039482133054703,22.511036002026895,684.7106783949846,8216.528140739816,0.04052914986976697
moniga del garda,2661,0.0020851192537764,125.10715522658924,22519.28794078606,270231.4552894327,740.3601514778978,1.3329536470089312,moniga del garda,23,5.439441531590837,32.18957180338686,979.0994756863504,11749.193708236206,0.05795450639169266
polaveno,2495,0.0019550441706773,117.30265024063893,21114.477043315004,253373.72451978005,694.1745877254248,1.2498005822199487,polaveno,9,13.033627804515437,77.13050974726941,2346.0530048127785,28152.636057753338,0.13886673135777208
berzo inferiore,2487,0.0019487754919737,116.92652951842445,21046.7753133164,252561.3037597968,691.9487774241007,1.245793205603612,berzo inferiore,29,4.031949293738774,23.860302669796578,725.7508728729794,8709.010474475752,0.04295838640012455
orzivecchi,2483,0.0019456411526219,116.73846915731718,21012.92444831709,252155.0933798051,690.8358722734387,1.2437895172954436,orzivecchi,8,14.592308644664648,86.35448403417983,2626.6155560396364,31519.386672475637,0.15547368966193045
borno,2473,0.0019378053042424,116.2683182545491,20928.29728581884,251139.56742982604,688.0536093967837,1.2387802965250232,borno,30,3.87561060848497,22.935120313226125,697.6099095272947,8371.318914327534,0.04129267655083411
bassano bresciano,2369,0.001856312481096,111.37874886576095,20048.17479583697,240578.0975500437,659.1180754795716,1.186684400512649,bassano bresciano,15,7.4252499243840635,43.94120503197144,1336.5449863891313,16038.539836669579,0.07911229336750993
alfianello,2366,0.0018539617265821,111.23770359493052,20022.78664708749,240273.43976504996,658.2833966165751,1.1851816342815225,alfianello,25,4.449508143797221,26.331335864663007,800.9114658834997,9610.937590601998,0.0474072653712609
barbariga,2365,0.0018531781417442,111.19068850465372,20014.32393083767,240171.88717005204,658.0051703289097,1.1846807122044805,barbariga,13,8.553129884973362,50.61578233299305,1539.5633792952053,18474.760551542466,0.09112928555419081
capo di ponte,2358,0.0018476930478786,110.86158287271604,19955.084917088887,239461.01900506663,656.0575863152511,1.1811742576651858,capo di ponte,28,3.9593422454541445,23.43062808268754,712.6816041817459,8552.17925018095,0.042184794916613776
angolo terme,2341,0.0018343721056335,110.0623263380103,19811.21874084185,237734.62489010225,651.3277394249377,1.172658582355471,angolo terme,38,2.8963770088950076,17.14020366907731,521.3478616011013,6256.174339213217,0.03085943637777555
paitone,2214,0.0017348568312142,104.09140987285552,18736.453777113995,224837.44532536797,615.993000891419,1.109041478571129,paitone,9,11.565712208095057,68.44366676571322,2081.8281974571105,24981.93836948533,0.12322683095234765
caino,2193,0.0017184015496173,103.10409297704253,18558.736735867657,222704.84083041188,610.1502488504435,1.0985221149532456,caino,17,6.064946645708384,35.89119110884962,1091.6903962275092,13100.28475473011,0.06461894793842621
gianico,2159,0.0016917596651271,101.50557990763102,18271.004383373584,219252.052600483,600.6905550698165,1.0814907643338152,gianico,32,3.1720493721134693,18.771579845931765,570.9688869804245,6851.626643765094,0.033796586385431725
tremosine sul garda,2100,0.0016455281596883,98.73168958129928,17771.70412463387,213260.44949560644,584.2752040975519,1.0519363617883335,tremosine sul garda,96,1.028455099805201,6.086200042682832,185.12191796493616,2221.463015579234,0.010957670435295141
bovegno,2047,0.0016039981632771,96.2398897966284,17323.18016339311,207878.1619607173,569.5292108512804,1.0253874917051042,bovegno,75,1.283198530621712,7.593722811350405,230.97573551190814,2771.708826142897,0.013671833222734723
collio,2021,0.0015836249574905,95.01749744943136,17103.14954089764,205237.7944907717,562.2953273719772,1.0123635177020105,collio,72,1.3196874645754355,7.809657324610795,237.54374362357834,2850.5249234829403,0.014060604412527924
fiesse,2021,0.0015836249574905,95.01749744943136,17103.14954089764,205237.7944907717,562.2953273719772,1.0123635177020105,fiesse,15,6.33449982996209,37.486355158131815,1140.2099693931762,13682.519632718113,0.06749090118013404
visano,2012,0.001576572693949,94.59436163694006,17026.98509464921,204323.82113579052,559.7912907829879,1.007855219008632,visano,15,6.306290775796004,37.31941938553253,1135.1323396432808,13621.588075719368,0.06719034793390881
niardo,1973,0.001546012885269,92.7607731161445,16696.93916090601,200363.2699308721,548.9404655640333,0.9883192580039916,niardo,28,3.312884754148018,19.605016627286904,596.3192557466433,7155.831068959718,0.03529711635728541
sulzano,1969,0.0015428785459172,92.57271275503729,16663.08829590671,199957.0595508805,547.8275604133713,0.9863155696958232,sulzano,15,6.171514183669152,36.52183736089142,1110.8725530604472,13330.470636725368,0.06575437131305488
malegno,1959,0.0015350426975378,92.1025618522692,16578.461133408455,198941.53360090143,545.0452975367164,0.9813063489254028,malegno,11,8.37296016838811,49.54957250333785,1507.1328303098596,18085.59396371831,0.08920966808412753
soiano del lago,1955,0.001531908358186,91.91450149116194,16544.61026840915,198535.3232209098,543.9323923860543,0.9793026606172344,soiano del lago,6,15.319083581860324,90.65539873100904,2757.4350447348584,33089.2205368183,0.1632171101028724
odolo,1946,0.0015248560946445,91.49136567867066,16468.44582216072,197621.34986592864,541.4283557970648,0.9747943619238558,odolo,10,9.149136567867066,54.14283557970648,1646.844582216072,19762.134986592864,0.09747943619238558
corteno golgi,1939,0.0015193710007788,91.162260046733,16409.20680841194,196910.4817009433,539.4807717834062,0.9712879073845612,corteno golgi,99,0.9208309095629595,5.449300725084911,165.74956372133272,1988.9947646559929,0.009810988963480417
idro,1907,0.0014942962859645,89.6577771578751,16138.399888417518,193660.79866101025,530.5775305781102,0.9552584009192152,idro,34,2.636993445819856,15.605221487591477,474.65882024757406,5695.905842970889,0.028095835321153388
ceto,1800,0.0014104527083042,84.62716249825652,15232.889249686174,182794.67099623408,500.8073177979016,0.9016597386757144,ceto,42,2.0149324404346793,11.923983757092895,362.6878392782422,4352.254071338907,0.02146808901608844
milzano,1775,0.0013908630873556,83.4517852413363,15021.321343440532,180255.8561212864,493.8516606062641,0.8891366867496628,milzano,15,5.56345234942242,32.92344404041761,1001.4214228960354,12017.057074752427,0.05927577911664419
ponte di legno,1765,0.0013830272389761,82.9816343385682,14936.694180942275,179240.33017130732,491.0693977296091,0.8841274659792422,ponte di legno,122,0.6801773306440017,4.025158997783681,122.43191951592028,1469.1830341910436,0.007246946442452805
brandico,1759,0.0013783257299484,82.69954379690735,14885.917883443322,178631.01460131985,489.400040003616,0.8811219335169898,brandico,13,6.361503368992873,37.64615692335508,1145.070606418717,13740.847277024604,0.06777861027053768
agnosine,1679,0.0013156389429127,78.93833657476262,14208.90058345727,170506.80700148724,467.141936990376,0.8410481673536248,agnosine,16,4.9336460359226635,29.1963710618985,888.0562864660794,10656.675437592952,0.05256551045960155
monte isola,1645,0.0012889970584225,77.3398235053511,13921.1682309632,167054.0187715584,457.682243209749,0.8240168167341946,monte isola,17,4.549401382667712,26.922484894691117,818.8922488801882,9826.706986562258,0.04847157745495262
lodrino,1641,0.0012858627190707,77.15176314424387,13887.317365963898,166647.80839156677,456.56933805908704,0.8220131284260265,lodrino,25,3.0860705257697547,18.26277352236348,555.4926946385559,6665.912335662671,0.03288052513704106
casto,1631,0.0012780268706912,76.68161224147578,13802.69020346564,165632.28244158768,453.787075182432,0.8170039076556058,casto,42,1.82575267241609,10.804454171010285,328.6354810348962,3943.6257724187544,0.01945247399180014
acquafredda,1548,0.0012129893291416,72.77935974850061,13100.28475473011,157203.41705676133,430.69429330619545,0.7754273752611145,acquafredda,14,5.1985256963214725,30.763878093299674,935.7346253378649,11228.81550405438,0.055387669661508175
berzo demo,1528,0.0011973176323827,71.83905794296443,12931.030429733595,155172.36515680316,425.12976755288537,0.7654089337202731,berzo demo,17,4.225826937821437,25.007633385463844,760.6488488078585,9127.786185694304,0.045024054924721946
maclodio,1509,0.0011824295204617,70.94577122770505,12770.23882098691,153242.86585184291,419.84346808724086,0.755891414256474,maclodio,10,7.094577122770505,41.984346808724084,1277.023882098691,15324.28658518429,0.0755891414256474
preseglie,1498,0.0011738100872443,70.42860523466015,12677.148942238828,152125.78730686594,416.7829789229204,0.7503812714090113,preseglie,20,3.5214302617330078,20.839148946146018,633.8574471119414,7606.289365343297,0.03751906357045057
ossimo,1493,0.0011698921630546,70.1935297832761,12634.8353609897,151618.02433187637,415.3918474845928,0.7478766610238008,ossimo,28,2.5069117779741465,14.835423124449743,451.24412003534644,5414.929440424156,0.02670988075085003
vezza d'oglio,1487,0.0011651906540269,69.91143924161526,12584.059063490746,151008.70876188896,413.7224897585999,0.7448711285615487,vezza d'oglio,58,1.2053696420968147,7.133146375148274,216.96653557742664,2603.5984269291203,0.012842605664854288
cigole,1475,0.0011557876359715,69.34725815829354,12482.506468492838,149790.07762191407,410.3837743066139,0.7388600636370438,cigole,16,4.334203634893346,25.648985894163367,780.1566542808024,9361.87985136963,0.04617875397731524
pezzaze,1474,0.0011550040511336,69.30024306801673,12474.043752243011,149688.52502691612,410.1055480189483,0.7383591415600016,pezzaze,34,2.0382424431769626,12.061927882910243,366.88363977185327,4402.603677262239,0.021716445340000046
corzano,1450,0.0011361980150228,68.17188090137331,12270.938562247196,147251.26274696636,403.4281171149763,0.7263370117109922,corzano,15,4.544792060091554,26.895207807665088,818.0625708164797,9816.750849797758,0.04842246744739948
seniga,1430,0.0011205263182639,67.23157909583712,12101.684237250682,145220.2108470082,397.8635913616663,0.7163185701701509,seniga,22,3.0559808679925964,18.084708698257558,550.0765562386673,6600.918674864009,0.03255993500773413
vallio terme,1427,0.0011181755637501,67.0905338250067,12076.296088501207,144915.5530620145,397.0289124986698,0.7148158039390248,vallio terme,20,3.354526691250335,19.85144562493349,603.8148044250604,7245.777653100724,0.03574079019695124
sellero,1408,0.0011032874518291,66.19724710974734,11915.504479754522,142986.05375705427,391.7426130330254,0.7052982844752258,sellero,15,4.413149807316489,26.116174202201694,794.366965316968,9532.403583803618,0.04701988563168172
villachiara,1382,0.0010829142460425,64.9748547625503,11695.473857259052,140345.68628710863,384.5087295537223,0.692274310472132,villachiara,26,2.499032875482704,14.78879729052778,449.82591758688665,5397.91101104264,0.026625935018158922
bione,1325,0.0010382499102795,62.29499461677216,11213.099031018988,134557.18837222786,368.6498311567887,0.6637217520807341,bione,14,4.449642472626583,26.33213079691348,800.9356450727848,9611.227740873419,0.0474086965771953
sonico,1222,0.000957540671971,57.45244031826082,10341.439257286947,124097.27108744335,339.9925235272421,0.6121267781454017,sonico,79,0.7272460799779851,4.303702829458761,130.9042943960373,1570.8515327524476,0.00774844022968863
tavernole sul mella,1221,0.000956757087133,57.40542522798401,10332.976541037122,123995.71849244546,339.71429723957664,0.6116258560683597,tavernole sul mella,28,2.050193758142286,12.132653472842023,369.0348764656115,4428.418517587338,0.02184378057386999
tignale,1175,0.0009207121845875,55.24273107525079,9943.691593545142,119324.2991225417,326.9158880069636,0.5885834405244248,tignale,63,0.876868747226203,5.189141079475613,157.83637450071654,1894.0364940085985,0.009342594294038489
barghe,1154,0.0009042569029906,54.25541417943779,9765.974552298803,117191.69462758565,321.07313596598806,0.5780640769065414,barghe,1,54.25541417943779,321.07313596598806,9765.974552298803,117191.69462758565,0.5780640769065414
temù,1148,0.0008995553939629,53.973323637776936,9715.198254799849,116582.37905759818,319.403778239995,0.5750585444442889,temù,87,0.6203830303192751,3.6713077958620115,111.66894545746952,1340.0273454896344,0.00660986832694585
limone sul garda,1144,0.0008964210546111,53.7852632766697,9681.347389800549,116176.16867760656,318.29087308933305,0.5730548561361207,limone sul garda,25,2.151410531066788,12.731634923573322,387.25389559202193,4647.046747104262,0.022922194245444828
cedegolo,1111,0.0008705627549589,52.233765297535,9402.0777535563,112824.9330426756,309.10940559637146,0.5565244275937326,cedegolo,3,17.411255099178334,103.03646853212382,3134.0259178520996,37608.311014225204,0.18550814253124417
zone,1036,0.0008117938921129,48.70763352677431,8767.374034819375,105208.4884178325,288.2424340214589,0.5189552718155778,zone,25,1.9483053410709723,11.529697360858357,350.694961392775,4208.3395367133,0.020758210872623112
ono san pietro,980,0.0007679131411878,46.074788471273,8293.461924829138,99521.54309794966,272.66176191219085,0.4909036355012222,ono san pietro,20,2.30373942356365,13.633088095609542,414.6730962414569,4976.077154897483,0.02454518177506111
provaglio val sabbia,885,0.0006934725815829,41.60835489497613,7489.503881095702,89874.04657314843,246.2302645839683,0.4433160381822262,provaglio val sabbia,22,1.8912888588625514,11.192284753816741,340.4319945952592,4085.1839351431104,0.02015072900828301
cevo,828,0.0006488082458199,38.928494749198,7007.129054855641,84085.54865826768,230.37136618703477,0.4147634797908286,cevo,71,0.5482886584394084,3.244667129394856,98.69195851909353,1184.3035022291224,0.005841739151983502
saviore dell'adamello,807,0.000632352964223,37.94117785338501,6829.412013609302,81952.94416331162,224.52861414605923,0.4042441161729453,saviore dell'adamello,117,0.32428357139645303,1.9190479841543524,58.37104285136156,700.4525142163386,0.0034550779160080797
mura,789,0.00061824843714,37.09490622840245,6677.08312111244,80124.99745334928,219.5205409680802,0.3952275187861881,mura,17,2.1820533075530855,12.912972998122365,392.7695953595553,4713.235144314664,0.023248677575658124
brione,760,0.0005955244768395,35.731468610374975,6431.664349867496,77179.97219840995,211.45197862578067,0.3807007785519682,brione,5,7.146293722074995,42.29039572515613,1286.332869973499,15435.994439681988,0.07614015571039365
braone,700,0.0005485093865627,32.91056319376642,5923.901374877956,71086.81649853548,194.75840136585063,0.3506454539294445,braone,17,1.93591548198626,11.45637655093239,348.46478675752684,4181.577441090322,0.020626203172320265
cerveno,669,0.0005242182565864,31.453095395185343,5661.557171133361,67938.68605360034,186.1333864482201,0.3351168695411405,cerveno,31,1.0146159804898498,6.004302788652262,182.63087648817296,2191.570517858075,0.010810221598101306
marmentino,667,0.0005226510869105,31.359065214631723,5644.631738633711,67735.58086360453,185.5769338728891,0.3341150253870564,marmentino,32,0.9799707879572414,5.799279183527784,176.39474183230348,2116.7369019876414,0.010441094543345512
losine,634,0.0004967927872582,29.807567235497014,5365.362102389463,64384.34522867356,176.39546637992754,0.3175845968446683,losine,7,4.258223890785287,25.199352339989648,766.4803003413518,9197.763604096222,0.0453692281206669
vione,632,0.0004952256175823,29.7135370549434,5348.436669889812,64181.240038677744,175.83901380459656,0.3165827526905841,vione,50,0.594270741098868,3.5167802760919313,106.96873339779624,1283.6248007735549,0.006331655053811682
paspardo,588,0.0004607478847127,27.6448730827638,4976.077154897484,59712.9258587698,163.59705714731453,0.2945421813007334,paspardo,14,1.9746337916259857,11.685504081951038,355.4340824926775,4265.208989912128,0.02103872723576667
pertica bassa,563,0.000441158263764,26.46949582584357,4764.5092486518415,57174.1109838221,156.641399955677,0.2820191293746817,pertica bassa,28,0.9453391366372703,5.59433571270275,170.1610445947086,2041.9325351365037,0.01007211176338149
pertica alta,563,0.000441158263764,26.46949582584357,4764.5092486518415,57174.1109838221,156.641399955677,0.2820191293746817,pertica alta,22,1.2031589011747077,7.120063634348955,216.56860221144734,2598.823226537368,0.012819051335212805
longhena,557,0.0004364567547363,26.187405284182717,4713.732951152889,56564.79541383467,154.97204222968404,0.2790135969124295,longhena,7,3.741057897740388,22.138863175669147,673.3904215932698,8080.685059119239,0.03985908527320421
cimbergo,541,0.0004239193973292,25.435163839753766,4578.329491155678,54939.953893868136,150.520421627036,0.2709988436797564,cimbergo,28,0.9083987085626345,5.375729343822714,163.5117675412742,1962.1412104952906,0.009678530131419871
monno,520,0.0004074641157323,24.44784694394077,4400.612449909339,52807.34939891208,144.6776695860605,0.2604794800618731,monno,34,0.7190543218806109,4.255225576060603,129.42977793850997,1553.1573352621201,0.007661161178290386
treviso bresciano,519,0.0004066805308943,24.400831853663963,4392.149733659513,52705.79680391416,144.39944329839494,0.2599785579848309,treviso bresciano,25,0.9760332741465585,5.775977731935797,175.68598934638052,2108.2318721565666,0.010399142319393236
lavenone,493,0.0003863073251077,23.178439506466923,4172.119111164046,50065.42933396856,137.16555981909192,0.2469545839817373,lavenone,54,0.42923036123086894,2.5401029596128133,77.26146502155642,927.1375802586771,0.004573233036698839
anfo,454,0.0003557475164278,21.344850985671368,3842.073177420846,46104.87812905015,126.3147346001374,0.2274186229770968,anfo,27,0.7905500365063469,4.678323503708793,142.29900657114246,1707.5880788537092,0.008422911962114697
lozio,357,0.000279739787147,16.784387228820876,3021.1897011877577,36254.27641425309,99.3267846965838,0.1788291815040167,lozio,32,0.5245121009006524,3.1039620217682438,94.41217816211743,1132.946137945409,0.005588411922000522
incudine,348,0.0002726875236054,16.361251416329594,2945.025254939327,35340.30305927193,96.82274810759432,0.1743208828106381,incudine,36,0.45447920600915537,2.689520780766509,81.80625708164797,981.6750849797759,0.004842246744739947
capovalle,343,0.0002687695994157,16.12617596494555,2902.711673690199,34832.54008428239,95.43161666926682,0.1718162724254278,capovalle,34,0.4742992930866338,2.8068122549784356,85.37387275559409,1024.486473067129,0.005053419777218465
paisco loveno,175,0.0001371273466406,8.227640798441605,1480.975343719489,17771.70412463387,48.68960034146266,0.0876613634823611,paisco loveno,55,0.14959346906257465,0.8852654607538665,26.926824431263437,323.1218931751613,0.0015938429724065655
valvestino,170,0.0001332094224509,7.992565347057561,1438.661762470361,17263.94114964433,47.29846890313515,0.0851567530971508,valvestino,41,0.19494061822091613,1.153621192759394,35.08931127976491,421.0717353571788,0.002076993977979288
irma,134,0.0001050003682848,6.30002209709243,1134.0039774766374,13608.047729719648,37.28232254717712,0.0671235583236365,irma,6,1.0500036828487385,6.2137204245295194,189.0006629127729,2268.0079549532747,0.011187259720606085
magasa,108,8.462716249825652e-05,5.077629749895391,913.9733549811704,10967.680259774044,30.04843906787409,0.0540995843205428,magasa,18,0.28209054166085507,1.669357725993005,50.77629749895391,609.3155699874469,0.003005532462252378
